Job Title,Job Type,Location,Experience Level,Salary Min (?),Salary Max (?),Min Education,Category,Openings,Notice Period,Year of Passing,Direct Link,Work Type,Interview Type,Company Name,Company Website,Company Description,Job Description,Requirements,Responsibilities,Skills
Sales Engineer,Full-time,"Ramdaspeth, Nagpur, Maharashtra",1�3 Years,"15,000","35,000",Bachelor�s Degree,Sales and Marketing,Not specified,Immediate Joiner,2024 / 2025 / 2026,https://in.linkedin.com/jobs/view/sales-engineer-transformers-at-skln-sales-and-services-pvt-ltd-4347672507?utm source=chatgpt.com,On -site,Online / On-site,SKLN Sales & Services Pvt. Ltd.,https://sklnsalesandservices.com/,"SKLN is a premier organization providing in-situ valve servicing, refurbishment","Promoting and selling transformers, preparing proposal",Engineering degre,"Meet clients, prepare quotes, achieve targets","Communication, Negotiation, Sales, Market Research, Client Handling, MS Excel"
Acquisition Manager � Sales,Full-time,"Nagpur, Maharashtra",2�5 Years,"3,00,000","6,00,000",Bachelor Degree,Sales and Marketing,1�5,Immediate Joiner,2024 / 2023 / 2022,https://www.kotak.com/en/careers.html,On-Site,Online / On-site,Kotak Mahindra Bank Limited,https://www.kotak.com/,"offering comprehensive banking and financial solutions across retail, corporate, and investment sectors",Acquire new customers for bank products,Strong communication and customer handling skills,Maintain daily sales activity reports,"Communication, Sales, Lead Generation, Customer Handling, Banking Knowledge, Negotiation, Target Management, Documentation"
Junior Sales Executive,Full-time,"Nagpur, Maharashtra",1 Year,"12,000","20,000",Bachelor Degree,Sales and Marketing,2,Immediate Joiner,2025 / 2024 / 2023,https://dozendiamonds.com/,On-Site,Walk-In / On-Site,Dozen Diamonds,https://dozendiamonds.com/,"offering certified diamonds, elegant jewellery collections, and high-quality craftsmanship with a focus on customer satisfaction and trust.",Assist customers in selecting diamond jewellery.,Good communication and presentation skills,Greet and assist walk-in customers,"Sales, Customer Handling, Jewellery Knowledge, Communication, Presentation, Convincing Skills, Billing, Relationship Building"
Field Sales Executive,Full-time,"Nagpur, Maharashtra",2 Year,"12,000","17,000",Bachelor Degree,Sales and Marketing,5,Immediate Joiner,2023 / 2024 / 2025,https://www.expertia.ai/technotask-co-in/job/hiring-field-sales-executive-68833799ea351afc5b3e5ea6?utm source=chatgpt.com,On-Site,Walk-In / On-Site,Technotask Business Solutions Pvt Ltd,https://technotask.co.in,"provides business process solutions including field sales, marketing, customer acquisition, and operational support",Generate leads and acquire new customer,Strong communication and persuasion skills,Achieve assigned sales targets,"Sales, Customer Handling, Lead Generation, Negotiation, Communication, Reporting, Field Operations, Target Achievement"
Sales Executive,Full-time,"Nagpur, Maharashtra",2 Year,"15,000","25,000",Bachelor Degree,Sales and Marketing,3,Immediate Joiner,2023 / 2024 / 2025,https://www.foundit.in/job/sales-executive-travelotreat-holidays-pvt-ltd-nagpur-38704208?utm source=chatgpt.com,On-Site,Walk-In / On-Site,TravelOTreat Holidays Pvt Ltd,travelotreat.com.�,"offering customized holiday packages, tour bookings, and travel solutions across India, aiming to provide memorable and hassle-free experiences to its customers.",Promote holiday packages to customers,Basic knowledge of travel industry,Report daily sales activities,"Sales, Customer Handling, Lead Generation, Communication, Negotiation, Target Achievement, Travel Knowledge, Reporting"
Sales & Marketing Intern,Part-time,"Nagpur, Maharashtra",0�1 year,"7,000","10,000",Bachelor Degree,Sales and Marketing / Business Development,Not specified,Immediate Joiner,2023 / 2024 / 2025,https://join.com/companies/cloudsciencelabscom/15106488-bd-intern-europe-preferred?utm source=chatgpt.com,On-Site,Walk-In / On-Site,Cloud Science Labs,https://cslforce.com/,": IT consulting firm specializing in Salesforce, AI solutions, and digital transformation globally.",Support sales & marketing campaigns,Sales / persuasion skills,Prepare documentation & proposals,"21. Sales, Communication, Marketing, CRM, Lead Generation, Client Handling, Proposal Preparation, Target Achievement"
Technical Sales Advisor,Full-time,"Waddhamana, Hingna Taluka, Nagpur, Maharashtra",Fresher / 0 Year,"18,000","47,500",BE / Diploma,Sales and Marketing,Not specified,Immediate Joiner,Any Year,https://www.shine.com/jobs/technical-sales-advisor/signum-fire-protection-india-pvt-ltd/18153938?utm source=chatgpt.com,On -site,Online / On-site,Signum Fire Protection India Pvt. Ltd.,https://www.signum.co.in/,"strong industrial background and the confidence shown by our customers, SIGNUM has established itself as the leader in Passive Fire Protection in the Indian sub-continent.",strong industrial background and the confidence shown by our customers,Good communication and customer-facing skills,Provide technical sales support to customers,technical understanding; reading drawings/BOQs; sales; MS Office; customer-facing; fire protection products knowledge; communication.
Area Sales Manager,Full-time,"Nagpur, Maharashtra",2 � 5 Years,"? 2,40,000","4,80,000",Bachelor�s degree,Sales and Marketing,1,Immediate Joiner,Any Year,https://in.indeed.com/q-energy-l-nagpur%2C-maharashtra-jobs.html?utm source=chatgpt.com,On-Site,Online / On-site,Dyna Energy Solutions LLP,https://dynaenergy.in/,"certified company that specializes in design, development, supply and servicing of Lead Acid and Li-ion batteries for Electric Vehicle application.",Develop and implement sales strategies in EV battery/charger segment,2�5 years EV battery sales experience,Achieve assigned sales targets,"Sales, negotiation, dealer management, EV market knowledge, communication, travel readiness, planning & organization."
Business Development Executive (BDE),Full-time,Maharashtra,Fresher / 0�1 years,"18,000","25,000",Bachekor Degree,Sales and Marketing,Not specified,Immediate Joiner,Any year,https://in.indeed.com/q-business-development-executive-l-wakad%2C-pune%2C-maharashtra-jobs.html?utm source=chatgpt.com,Remote,Online / On-site,i-Believe Marketing Communications LLP   https://ibcdigital.in/,,"full-service marketing and advertising firm providing solutions in branding, digital marketing, sales promotion, and business development.",Generate leads for business development,Good communication skills,Promote company services effectively,"Communication and negotiation,Digital marketing basics,Client relationship management"
Business Development Executive (BDE),Full-time,"Nagpur, Maharashtra",Fresher/0-1 year,,,Bachelor Degree,Sales and Marketing,Not specified,,Any year,https://internshala.com/company/the-mentor-way-1674629562/?utm source=chatgpt.com,On?site,Not specified,The Mentor Way,https://mentors-way.com/,"group of experienced professionals who cater to the needs of varying manpower requirements across the country. Having our base in Nagpur, we have spread our network in Maharashtra",Identify and approach potential clients / companies needing staffing solutions,Sales / client?handling aptitude,Generate and follow up leads,"Sales, communication, negotiation, lead generation, client management, basic office tools"
Field Sales Executive,Full-time,"Nagpur, Maharashtra, India",Fresher/0-1 year,,,Not Specified,Sales and Marketing,Not specified,,Any year,https://www.rentokil-pestcontrolindia.com/about-rentokil/local-branches/nagpur?utm source=chatgpt.com,On?site / Field?Sales / Territory Sale,Not specified,Rentokil PCI,https://www.rentokil-pestcontrolindia.com/,India�s leading professional pest?control and hygiene company � formed as a joint venture between India�s largest pest?management firm,Promote services / products of Rentokil PCI in assigned territory,Good communication skills,Generate and convert leads,"Sales, communication, negotiation, customer?service, field?work readiness, basic digital literacy, self?motivation."
Sales Executive,Full-time,"Nagpur, Maharashtra",Any,,,10th/12th/graduate,Hospitality / Hotel & Services /Sales and Manufacturing,Not specified,,,gajananshirke@gmail.com,On?site (likely hotel?based),Not specified,Strategic Hotels Pvt Ltd,https://www.strategichotels.in.,Strategic Hotels Pvt Ltd is a private limited company incorporated 13?Jan?2021 (CIN: U55209MH2021PTC353432).,Identify and approach corporate clients,Strong communication and presentation skills,Generate qualified sales leads,"Sales & negotiation, Customer Relation Management"
Sales & Marketing Executive,Full-time,"Gandhibagh, Nagpur, Maharashtra",Fresher � 1 Year,"10,000","15,000",Bachelor�s Degree,Sales and Marketing,1,Immediate Joiner,2024 / 2025,https://www.justdial.com/Nagpur/Kabra-Sales-Marketing-Oppo-Gandhibagh-Garden-Gandhibagh/0712PX712-X712-110317133831-Q1K8 BZDET?utm source=chatgpt.com,On-Site,Walk-In / On-Site,Kabra Sales & Marketing,https://www.kabragroup.net/,"Nagpur-based supplier and distributor dealing in disposable food packaging products such as paper plates, disposable cups, trays, aluminum containers, and related items",Demonstrating disposable packaging products,Good communication skills,Achieve monthly sales targets,"Customer handling,Market awareness,Sales & negotiation"
Sales Executive,Full-time,"Nagpur, Maharashtra",Fresher/1 year,"15,000","25,000",Bachelor Degree,Sales and Marketing,1,Immediate Joiner,2022�2025,https://www.justdial.com/Nagpur/Sudhanshus-Sales-Marketing-Opposite-Mangalwari-Complex-Sadar-Bazar/0712PX712-X712-140723181205-A9C4 BZDET,On-Site,Walk-In / On-Site,Sudhanshus Sales and marketing,https://www.justdial.com/Nagpur/Sudhanshus-Sales-Marketing-Opposite-Mangalwari-Complex-Sadar-Bazar/0712PX712-X712-140723181205-A9C4 BZDET,Nagpur-based company providing automotive sales and service to retail customer,"handle lead generation, meet potential customers, and close sales for the company�s products in the Nagpur region",Good communication and negotiation skills,Achieve monthly sales targets,"Sales,Lead Generation,Customer Handling,Negotiation,Communication,CRM,MS Excel"
